OptIndex	Step	X_0	X_1	X_2	X_3	X_4	X_5	X_6	X_7	X_8	X_9
0	0	-1.64885233884494653e+00	-1.75439350373352720e+00	1.06883908492852742e+00	2.20680770309819696e+00	1.34054602022264668e+00	2.50326273660088328e+00	1.11559780271632625e+00	2.16734999192746303e+00	-1.74323034268267429e+00	-3.56322729183196785e+00
0	1	-1.99434735696611787e+00	-2.35568744955749088e+00	1.16045938947797134e+00	2.27909579558569320e+00	1.50544019126922501e+00	1.59639651779054992e+00	1.41286303559783510e+00	1.26239715173710865e+00	-5.03501392495961930e-01	-3.25773007798284642e+00
0	2	-1.87412462971867932e+00	-2.34240532218493769e+00	1.53689069362429653e+00	2.39085791208512877e+00	1.51723727524154417e+00	1.77083177805768188e+00	1.32326004734573965e+00	1.51209414641524331e+00	-3.19650964270457028e-03	-2.89324974639742205e+00
0	3	-1.91376221990939310e+00	-2.38454824512562658e+00	1.64041581605579156e+00	2.26084098206770401e+00	1.57504812995106369e+00	1.77351079707971304e+00	1.37139164758465837e+00	1.61611525293687741e+00	2.57004426216820604e-02	-2.69983275511660326e+00
0	4	-1.87962988241770779e+00	-2.33089785219062540e+00	1.69297098954700220e+00	2.35862961746972388e+00	1.63238889630121964e+00	1.71400818429680135e+00	1.69553905262876015e+00	1.71844890504023784e+00	-1.11134048079512160e-01	-1.83315145492854947e+00
0	5	-1.84063794442808049e+00	-2.40403672287612924e+00	1.51611988169002210e+00	2.27453934485711784e+00	1.57683955271817000e+00	1.97552856148864286e+00	1.66120814321454513e+00	1.49458205494634710e+00	-2.97072661741650701e-01	-3.48771936926314252e-01
0	6	-1.92809566042415015e+00	-2.32772710582806930e+00	1.49457002740475353e+00	2.29259687934942447e+00	1.57247244762355121e+00	1.87059541167724985e+00	1.44329092896494204e+00	1.48091436020200051e+00	-3.92971067141682895e-01	1.23702152326582993e-01
0	7	-1.89253338121510239e+00	-2.36173534445821964e+00	1.51124735082827977e+00	2.29767988634565823e+00	1.56522295387376231e+00	1.83853358472976991e+00	1.40784708755073362e+00	1.48107535790541256e+00	-4.22413726272246881e-01	1.70151954386685789e-01
0	8	-1.89543176612596609e+00	-2.36657640375109590e+00	1.56262395762272432e+00	2.30284427702543937e+00	1.54821337032989881e+00	1.83676966816604925e+00	1.39975751871480392e+00	1.45189990107065214e+00	-4.50231029516226844e-01	1.84242729151612800e-01
0	9	-1.88117147164268395e+00	-2.36688612244369079e+00	1.59394463990185575e+00	2.33236413348435567e+00	1.68582577257337429e+00	1.86254748252020508e+00	1.37717269380117346e+00	1.40915500941969407e+00	-4.77617448807450051e-01	1.82389194844872732e-01
0	10	-1.49138277929746765e-01	-6.73349994069998958e-01	1.54810472559512502e+00	1.09603742880882660e+00	1.10138145745537264e+00	1.20632366645697875e+00	1.03642686561296493e+00	1.10638389415492888e+00	-7.37437358736443782e-01	-8.63417699266299521e-01
0	11	-1.33491284718615905e-01	-5.84791563495228872e-01	1.05354652316574482e+00	1.07314003411222592e+00	1.10720496626037046e+00	1.22637653167852667e+00	1.07937144222027070e+00	1.04170073500868221e+00	-4.03723252070605332e-01	-2.56729915285039967e-02
0	12	-1.11389900445513376e-01	-5.43737238584995008e-01	8.97889867113446760e-01	1.04897133146400301e+00	1.09287049625093435e+00	1.18013055223700092e+00	1.04794070410734319e+00	8.67388436463018886e-01	-2.90235914226563918e-01	8.59385873987576487e-02
0	13	-7.15333971952045178e-02	-4.84206594573195814e-01	7.23513864658956618e-01	9.95534165672769311e-01	1.05059800593131625e+00	1.09245053191889752e+00	9.75959450815426122e-01	6.74808481909267455e-01	-7.05886698027302917e-02	-3.66121572333255318e-02
0	14	-3.39493180025004712e-02	-4.37417838301845996e-01	6.29480408653529389e-01	9.40150497187177692e-01	9.99729553228871137e-01	1.01090917184591822e+00	8.90631956164318894e-01	5.60314754099753176e-01	9.98535713111919354e-02	-6.16308455636115637e-02
0	15	-1.29239543073485230e-04	-4.00797610570800156e-01	5.86954063404472759e-01	8.87173941658595311e-01	9.45935453610028953e-01	9.34388071919020291e-01	8.01777668248275677e-01	4.84744450077707334e-01	2.01647514852979909e-01	2.86294032262651710e-02
0	16	2.58204968478242189e-02	-3.74031144263079929e-01	5.77126597807460118e-01	8.41500289564515613e-01	8.96440630398192329e-01	8.71529516849617658e-01	7.29920903053728587e-01	4.47142050228394594e-01	2.60901203870898601e-01	8.28498304587638595e-02
0	17	4.66084699466731006e-02	-3.53012304238825902e-01	5.87820484750415151e-01	7.99360126736081034e-01	8.47972669977786864e-01	8.14471837315729696e-01	6.68745860042916029e-01	4.32006851962691230e-01	2.89022987292181233e-01	1.13101880825019124e-01
0	18	5.98194665379630022e-02	-3.38719645944373760e-01	6.07380754282417445e-01	7.65922619331361743e-01	8.07059669989384720e-01	7.68853325877314697e-01	6.26076990857884819e-01	4.33783468593673616e-01	2.90075966175875111e-01	1.09387761330560690e-01
0	19	6.45437533542126962e-02	-3.31284791806351009e-01	6.20649217326772362e-01	7.46332147834233628e-01	7.81113235855643739e-01	7.40576275821360763e-01	6.05882915044050341e-01	4.40623883736896593e-01	2.72322221776719109e-01	9.05281087203489571e-02
