OptIndex	Step	X_0	X_1	X_2	X_3	X_4	X_5	X_6	X_7	X_8	X_9	X_10	X_11	X_12	X_13	X_14	X_15	X_16	X_17	X_18	X_19	X_20	X_21	X_22	X_23	X_24	X_25	X_26	X_27	X_28	X_29	X_30	X_31	X_32	X_33	X_34	X_35	X_36	X_37	X_38	X_39	X_40	X_41	X_42	X_43	X_44	X_45	X_46	X_47	X_48	X_49	X_50	X_51	X_52	X_53	X_54	X_55	X_56	X_57	X_58	X_59	X_60	X_61	X_62	X_63
0	0	-1.55437026992421590e+00	-1.64519388234114938e+00	1.10340730530229858e+00	2.13375338357864397e+00	1.38053778707043051e+00	2.49563580258423556e+00	1.14806038826489032e+00	2.14347827173068106e+00	-1.75201558119402723e+00	-2.34185001202594911e+00	3.55501138073940626e-01	-1.38896532536031003e+00	2.49778826177141466e+00	2.66713021723982369e+00	1.94234821370167565e+00	9.43744238850196315e-01	-3.88125343853911453e-01	-1.42549491444669707e+00	-2.02071084323049854e+00	-2.69161221551092966e+00	1.80580746966794958e+00	-2.42992903336189414e+00	2.74317715593862133e+00	2.33264403715491131e+00	1.33268319827859272e+00	-4.35508774395943266e-01	-1.54753444002390728e+00	-1.91189902311416748e+00	-1.82896375016813817e+00	-1.54598397477355021e+00	-2.43104505377824687e+00	2.33523704803486165e+00	-1.43305442423668605e+00	1.23175927687446163e+00	-4.73911883993959115e-01	2.39424499163142412e+00	-2.92146765189463808e-02	8.13474770932917868e-01	9.06760379082994228e-01	-1.62371149378939084e+00	-2.14796444539952169e+00	2.51248727761007318e-01	2.76494859657647929e+00	2.93045665846726555e+00	2.18470293520186054e+00	-2.52072691755983147e+00	2.14481803384163250e+00	-1.93340343501630874e+00	2.62020456586409267e+00	1.57604730158509287e+00	-2.08580998939006967e+00	-1.06427565263087831e+00	-2.33360212509486997e+00	2.42073254980512242e+00	-5.27806546895865147e-01	1.67237838785578719e+00	-2.23506297036556756e+00	-3.53845076411304693e-01	-1.48520578169606088e+00	1.68612580068317897e+00	1.03672391756480353e+00	-2.01116026310467344e+00	-1.91710379329127201e+00	-2.05827605732032293e+00
0	1	-2.71496213545228926e+00	-3.13097397154758639e+00	1.08411697174568977e+00	2.91596061903752890e+00	1.44728013318672866e+00	1.88725573158911231e+00	1.39590692104657044e+00	1.62390873558861926e+00	-8.87128198991964823e-01	-1.52349043069207846e+00	4.87363710443931675e-01	-1.38476431341824746e+00	1.60181205103496627e+00	2.08495965850755915e+00	1.58391362975650685e+00	9.66002096759096096e-01	-2.66844100449018629e-01	-8.55024840211021542e-01	-1.11657016826753175e+00	-1.49747126613373127e+00	2.70837216361772271e+00	-2.07693526498808634e+00	1.57868947003177285e+00	1.67996643033857707e+00	1.23803669784635528e+00	-2.55915524224798629e-01	-9.27638507834310566e-01	-1.72136923725403679e+00	-1.98788708742290177e+00	-9.68804252355990769e-01	-2.62388128286079514e+00	1.97147461235627697e+00	-1.11367828242525491e+00	1.02507645673522330e+00	-4.70248315825376129e-01	1.33826395061793924e+00	2.09191483313429322e-01	7.91082901203427058e-01	7.35129065609100518e-01	-2.45396898354620285e+00	-1.72553900422559670e+00	4.73432913781442144e-01	1.78306375510742376e+00	1.57472761687144724e+00	1.58331877269564547e+00	-2.14059188886525575e+00	2.26614219039641807e+00	-1.53119855210560818e+00	1.92272222065880682e+00	1.13593617676420711e+00	-1.89108462035151259e+00	-5.89467973529164579e-01	-1.46942436841832769e+00	1.70048053088194706e+00	-3.45353317765352497e-01	9.25933132820519700e-01	-1.72606070186265281e+00	-1.30701900684921962e-01	-1.33181581257798287e+00	1.41528285946131982e+00	8.57377006881001269e-01	-1.77830508712390323e+00	-9.53599315400091463e-01	-1.81295339279500833e+00
0	2	-2.45665235784947988e+00	-2.80095773052096897e+00	1.38601320029254182e+00	2.83632255236972908e+00	1.56362782067428530e+00	2.01335576988706055e+00	1.42940283027946613e+00	1.82827046105940871e+00	-6.87744765925220380e-01	-1.55625888790375710e+00	4.73395697609989896e-01	-1.27916054058697837e+00	1.30336876714967631e+00	2.03495549753623406e+00	1.33056356484935367e+00	9.43755271744094015e-01	-1.67114817159282447e-01	-5.99310231326710241e-01	-1.13299482945829566e+00	-1.63180515854252306e+00	2.46885361066051967e+00	-1.78927596968565727e+00	1.32294809696385318e+00	1.34634904992007209e+00	1.09301128195159869e+00	-1.17374965855655461e-01	-6.33290409372726515e-01	-1.86603957338845872e+00	-2.27771606421462547e+00	-7.03599871239881658e-01	-2.71243271081842963e+00	2.24520511545356305e+00	-9.31114220849730057e-01	8.46191785830458509e-01	-4.44534709320457799e-01	1.19805865122552957e+00	3.13118879285022245e-01	7.60230335391915646e-01	5.62641060403989313e-01	-2.66534306165842461e+00	-1.63732562612875920e+00	6.39162089371211772e-01	1.61225838430288504e+00	1.37199948104702218e+00	1.46695586666016364e+00	-2.40074007033728076e+00	2.39784718672488495e+00	-1.22445865583638458e+00	1.91359371027622638e+00	8.33338618845118839e-01	-2.14279908359498172e+00	-3.47140061673742673e-01	-1.09613505027258795e+00	1.67860396259776823e+00	-2.42277347171501539e-01	6.28804821521068646e-01	-1.89848582221333229e+00	-1.88958934458666877e-02	-1.19895433701359133e+00	1.22689695423503142e+00	7.24334891111233392e-01	-2.04961798854555521e+00	-6.88317267826139889e-01	-1.66896391803072008e+00
0	3	-2.49916802057490095e+00	-3.03156391847609141e+00	1.66877118316405237e+00	2.76327417287277610e+00	1.66383277723293244e+00	2.17235240506625660e+00	1.47895019018192975e+00	2.00733671257813562e+00	-5.83172297446730159e-01	-1.73131105053776824e+00	4.43724792906461496e-01	-1.12376279020692649e+00	1.16800997208757629e+00	2.00132913986729744e+00	1.17468640950724912e+00	8.81136442396913133e-01	-6.17543654158144995e-02	-4.13417141342859396e-01	-1.30419469250781406e+00	-1.93054793015005366e+00	2.55065829208511374e+00	-1.73469438408158272e+00	1.20174645539412994e+00	1.13499657379042618e+00	9.27564419385481953e-01	1.26555003946753897e-02	-4.29559291836820123e-01	-1.82792885121443471e+00	-2.14650674112793460e+00	-4.70568293213264432e-01	-2.64079647358099878e+00	2.28410643026945515e+00	-6.74207650657446589e-01	6.66869323556980698e-01	-4.17164046170582503e-01	1.27489905075709853e+00	4.06788572118364333e-01	7.10389530222906185e-01	3.94510453792494165e-01	-2.21810832129781410e+00	-1.60142691518602853e+00	8.31286769412727500e-01	1.65096065770714606e+00	1.40247027532914914e+00	1.42496084157232206e+00	-2.46696189599759119e+00	2.37393150511744588e+00	-9.39257335511056723e-01	1.90424922868726387e+00	6.14886619520941369e-01	-2.21316584674322714e+00	-9.02853308847011427e-02	-8.70415182828588652e-01	1.74611218065134488e+00	-1.10136143459123398e-01	4.38249398537850776e-01	-2.06126162029341753e+00	1.26422450173094614e-01	-1.05867765863866037e+00	1.05852970218316567e+00	5.64242080321093353e-01	-2.13786883830630181e+00	-5.38786344428814901e-01	-1.52746507237607676e+00
0	4	-2.48189311115084132e+00	-2.96816796539800043e+00	1.86451606215433641e+00	2.88757737279762416e+00	1.69952435978986771e+00	2.18078297795243881e+00	1.56570855543329812e+00	1.98079278932130620e+00	-5.26052255142110514e-01	-1.83666976475776766e+00	4.47961621332796267e-01	-9.89100210421316017e-01	1.14699965178285646e+00	1.96932230640341355e+00	1.12677250048233146e+00	8.10108371170351949e-01	2.31010816921172063e-02	-3.12197636156766323e-01	-1.41167395156588804e+00	-2.08690344889805113e+00	2.62992851742302580e+00	-1.78986251551396580e+00	1.18009953126068945e+00	1.04734088246394297e+00	8.04118353872050662e-01	1.01731962747691473e-01	-3.49397409958750516e-01	-1.77782095723839273e+00	-2.06326206243600030e+00	-3.92594717143761707e-01	-2.63666917730499817e+00	2.18051713590415286e+00	-4.12523223183906940e-01	5.23773856521209891e-01	-4.05889639782317735e-01	1.44014083657840630e+00	4.95875373928814756e-01	6.52464978912109750e-01	3.12057046274369587e-01	-2.33547790231421315e+00	-1.75339525751560710e+00	1.01584688730797468e+00	1.79070738049968381e+00	1.54968246334802151e+00	1.45338645973858882e+00	-2.33157242465982950e+00	2.38394146560805487e+00	-7.39998946941452851e-01	1.83841193512045487e+00	5.33323134424705247e-01	-2.15256810616545025e+00	1.29542785860063486e-01	-7.84611000077781617e-01	1.79574377263052609e+00	4.39128957653862895e-02	3.65441640964424219e-01	-2.05539070780034239e+00	2.90257209609308064e-01	-9.45322641259700447e-01	9.37210079052778644e-01	4.33895650493342888e-01	-2.04528053998998516e+00	-4.97018807709560861e-01	-1.41025788993024159e+00
0	5	-2.52425498772840085e+00	-3.15773205622204722e+00	1.90943194322357290e+00	2.72911685095189993e+00	1.75821954769630096e+00	2.08851108616936187e+00	1.68110414006179054e+00	1.86087533441201347e+00	-4.76711838813416500e-01	-1.77711057153231766e+00	5.46124246066847507e-01	-7.74970893751398826e-01	1.18057666538670136e+00	1.94001261263793956e+00	1.12833393039345631e+00	6.85452574266260717e-01	1.68517203086879508e-01	-2.02892040437248844e-01	-1.34628231927954412e+00	-1.94049656319134511e+00	2.42310259404211914e+00	-1.84517572173534239e+00	1.24118393510454594e+00	9.92524124673791364e-01	6.31109125497648304e-01	2.26295195046267328e-01	-3.34181920310895164e-01	-1.80067657123496061e+00	-2.18543972731831593e+00	-4.52686878935103842e-01	-2.59759987613270926e+00	2.31174675402989038e+00	1.17328147139282801e-01	2.61506708575844404e-01	-4.30465740727794199e-01	1.70827533851012103e+00	7.36998233616543597e-01	5.28027790128821950e-01	2.38721219112317917e-01	-2.38774588507782148e+00	-1.96210504868773805e+00	1.47246457935572250e+00	2.04072868228256477e+00	1.86925608994392412e+00	1.60716712607522316e+00	-2.30413309898965935e+00	2.37933557661386974e+00	-3.71044233966948023e-01	1.70978159709508470e+00	5.23407124583174843e-01	-2.19937494504694442e+00	5.06399143237910687e-01	-7.46489390114570939e-01	1.81381950575315121e+00	4.40850517296066613e-01	3.58474586969216247e-01	-1.97924795029626011e+00	6.27175322098721288e-01	-7.38133825713041203e-01	7.29177418965926805e-01	2.43312788383739959e-01	-1.98590477791792930e+00	-5.83496037592202588e-01	-1.17951166452035761e+00
0	6	-2.50730774132332801e+00	-3.04682182353998199e+00	1.82666231715466099e+00	2.81423218349166149e+00	1.71396215272130004e+00	2.08158237001839552e+00	1.67074707713749393e+00	1.85612564299736560e+00	-4.82372031466437923e-01	-1.70169606460207667e+00	6.32703011297869100e-01	-6.57202304181127461e-01	1.20521114059545464e+00	1.94378737229976650e+00	1.15006416566259784e+00	6.24006297729783221e-01	2.54865685576748324e-01	-1.66477697725133877e-01	-1.26177889135985932e+00	-1.76340738364910576e+00	2.51107133703923635e+00	-1.89570349611820199e+00	1.29378341246962525e+00	9.96025974844153339e-01	5.52440993809322656e-01	2.84374199843028808e-01	-3.68686765653770343e-01	-1.79410188592916953e+00	-2.18244934756901188e+00	-5.24925754731590644e-01	-2.63454334280497093e+00	2.39288881385387953e+00	5.38520932985605327e-01	9.49337394437589077e-02	-4.80919988972014656e-01	1.76576391390785692e+00	9.43922648009648313e-01	4.51650054651510424e-01	2.24899041837222341e-01	-2.26517083884354031e+00	-1.99629183292902046e+00	1.77921510246081582e+00	2.11964740973345789e+00	1.97513022075552125e+00	1.67378424282401528e+00	-2.32596368894196504e+00	2.42795850730118801e+00	-9.32217680553174000e-02	1.67164724519274355e+00	5.51015151890372645e-01	-2.26424353879709583e+00	7.36824874754188563e-01	-7.53630115884388108e-01	1.83101235009845875e+00	7.58659393181035924e-01	4.05399865683050753e-01	-2.00257283950601428e+00	8.30559034538014718e-01	-5.92676257083143643e-01	5.95641920651864387e-01	1.49850823838969194e-01	-1.99608942213658658e+00	-6.93073495002601403e-01	-1.01242045714317808e+00
0	7	-2.51496503311797470e+00	-3.08660895590966078e+00	1.65634163132998813e+00	2.74075734912263735e+00	1.64974710025299531e+00	2.11111472232793407e+00	1.55976862549603101e+00	1.91161510836635751e+00	-5.50535252045900148e-01	-1.70325663783820258e+00	7.42151017339256702e-01	-5.23405172000275365e-01	1.23521197809347805e+00	1.97781670115103392e+00	1.19688476201580407e+00	5.92657092760217941e-01	3.49510278842685818e-01	-1.83446786953420593e-01	-1.25283812966211872e+00	-1.74327968484533691e+00	2.43327131294325794e+00	-1.86985304133925312e+00	1.38093713007725105e+00	1.06697798600843474e+00	5.12534326817808639e-01	3.11757417415324367e-01	-4.73096309078116284e-01	-1.74655680823687098e+00	-2.01818672244055852e+00	-6.29313656484543071e-01	-2.64571092381725581e+00	2.40717747369505064e+00	1.24348700346831009e+00	-8.08997106345274442e-02	-6.21923704767801233e-01	1.68713488602824158e+00	1.23361368687877238e+00	3.92639613236150375e-01	2.64921332482488781e-01	-2.36955212045849439e+00	-2.03997534831481309e+00	1.88225909219213516e+00	2.10132056989339233e+00	1.86106056445404366e+00	1.61243893399269966e+00	-2.29680929062938644e+00	2.51267251142314008e+00	4.49638450051045024e-01	1.72375581172923331e+00	6.14317714325073205e-01	-2.26737403174408803e+00	9.73381540024259806e-01	-8.01230248591618399e-01	1.94306392632338998e+00	1.24845203234181357e+00	5.68824330906375075e-01	-2.12229455487789531e+00	1.03303707406099354e+00	-3.49422355693190689e-01	4.16376912586272629e-01	8.39420983466059312e-02	-1.95829456008329950e+00	-8.91765888973923948e-01	-7.44919070371769410e-01
0	8	-2.53640924497038434e+00	-3.04907608917706696e+00	1.63801879241382609e+00	2.74388834999852582e+00	1.63825686628946121e+00	2.00967828029765760e+00	1.56344165685393333e+00	1.79777189005822113e+00	-5.74961734844031458e-01	-1.74047317469476126e+00	8.19084018229464195e-01	-4.07826600846286080e-01	1.24086252999224178e+00	1.96559299147791844e+00	1.23132677343285857e+00	6.03776902547042971e-01	4.12099864023973972e-01	-2.13401273535820751e-01	-1.27285117768105582e+00	-1.77853511400991393e+00	2.50045727971741671e+00	-1.89883516913995765e+00	1.40021122190081049e+00	1.13833349809290518e+00	5.21420012379636422e-01	3.04440080557991211e-01	-5.50797196895312924e-01	-1.78708729312973125e+00	-2.11497956145945221e+00	-7.14618169956986238e-01	-2.58776995775033036e+00	2.56087306988485119e+00	1.62770450501998298e+00	-1.04869290110701993e-01	-7.80674448340456850e-01	1.72985093629432507e+00	1.32185096119888712e+00	4.09143426916203978e-01	3.03734337195908310e-01	-2.32370503543005569e+00	-2.01996114022381379e+00	1.73274408232709187e+00	2.05742663236614698e+00	1.78729090632910226e+00	1.56083156512880872e+00	-2.30199386169755593e+00	2.53389239657317944e+00	1.12709104113451319e+00	1.74641763822985641e+00	6.67440399465840772e-01	-2.26359708328556053e+00	1.04471509946166785e+00	-8.39911167666019587e-01	2.03384880123032152e+00	1.56152082000156023e+00	7.40044858810052331e-01	-2.05639561980798735e+00	1.16339719842414890e+00	-9.10593339520073819e-02	2.60702949358091352e-01	5.53727225891713151e-02	-1.87259545561948038e+00	-1.02890419320920623e+00	-4.76635934141264539e-01
0	9	-2.52089565810942906e+00	-3.06508402845778338e+00	1.63634348754335068e+00	2.75622626977266494e+00	1.62915204269034919e+00	2.00417121226373629e+00	1.55745364139909892e+00	1.78337403807131678e+00	-5.84893703683446509e-01	-1.72841917968830816e+00	8.59227466855507327e-01	-3.40176012021610630e-01	1.23881586399617794e+00	1.96059451135834517e+00	1.24270112246247111e+00	6.14198229475174773e-01	4.39942246520384994e-01	-2.22818635958872913e-01	-1.25067990945037288e+00	-1.75204821520440368e+00	2.47172521219628205e+00	-1.90049102514378276e+00	1.40729490643878985e+00	1.16264743674702742e+00	5.32633913880038889e-01	2.98680169926492600e-01	-5.74125419962531636e-01	-1.76556857009111123e+00	-2.09042303542140484e+00	-7.27395582041056810e-01	-2.64036810717216097e+00	2.53014144453058787e+00	1.65134338294498573e+00	-6.68338187842183601e-02	-8.65526576687576710e-01	1.76731304706086134e+00	1.33053006829655507e+00	4.29135443753342172e-01	3.17298415053596461e-01	-2.31319017989466413e+00	-1.99970814031561117e+00	1.72935656734603849e+00	2.04292104265463292e+00	1.80001281250470013e+00	1.56922568355429615e+00	-2.30540828148704247e+00	2.61820107848322303e+00	1.47352637530313535e+00	1.76800651141708931e+00	6.88985605257655065e-01	-2.26933867983359239e+00	1.05128805211012777e+00	-8.61353125124867391e-01	2.04346964546095000e+00	1.62483918146707618e+00	8.19406730975100972e-01	-2.04753680847767994e+00	1.20915055234497171e+00	5.62450570291515017e-02	1.81166565572750682e-01	4.08775889773395351e-02	-1.86623367536381890e+00	-1.08920322885573317e+00	-3.30140777635582472e-01
